Class,Importer,Exporter,Total_Quantity,N_Records
Actinopteri,BY,AM,3400,29
Actinopteri,GE,AM,271000,173
Actinopteri,IL,AM,2100,3
Actinopteri,IR,AM,281748,13
Actinopteri,RU,AM,1727607.8,2371
Actinopteri,AE,AU,259,16
Actinopteri,CA,AU,94,4
Actinopteri,CH,AU,160,8
Actinopteri,DE,AU,50,1
Actinopteri,ES,AU,2,2
Actinopteri,FR,AU,320,46
Actinopteri,GB,AU,4,2
Actinopteri,HK,AU,28,2
Actinopteri,IR,AU,12,2
Actinopteri,JP,AU,6507,75
Actinopteri,KR,AU,6572,21
Actinopteri,KW,AU,32,4
Actinopteri,MY,AU,166,8
Actinopteri,NL,AU,3502,38
Actinopteri,PE,AU,24,1
Actinopteri,PL,AU,1700,15
Actinopteri,SA,AU,300,3
Actinopteri,SG,AU,640,27
Actinopteri,TH,AU,146,10
Actinopteri,TW,AU,1511,14
Actinopteri,US,AU,3644,111
Actinopteri,ZA,AU,50,1
Actinopteri,AE,AZ,2,1
Actinopteri,TR,AZ,36890,34
Actinopteri,CH,BE,237,2
Actinopteri,JP,BE,42,1
Actinopteri,KR,BE,1081,1
Actinopteri,UA,BG,6604,38
Actinopteri,XV,BG,50,1
Actinopteri,US,BM,2,1
Actinopteri,GB,BR,150,2
Actinopteri,RU,BY,138058.5,26
Actinopteri,PA,CA,2,1
Actinopteri,US,CA,430,7
Actinopteri,JP,CD,7,1
Actinopteri,DE,CH,39734,84
Actinopteri,HU,CH,1640,4
Actinopteri,MY,CH,30060,2
Actinopteri,CA,CN,2,2
Actinopteri,DE,CN,8533.92,2
Actinopteri,FR,CN,432,10
Actinopteri,GB,CN,20.3,1
Actinopteri,HK,CN,19110,8
Actinopteri,JP,CN,447173.7,274
Actinopteri,KR,CN,54,1
Actinopteri,KZ,CN,52650,7
Actinopteri,LA,CN,291000,32
Actinopteri,MY,CN,15,1
Actinopteri,NL,CN,25,1
Actinopteri,RU,CN,53200,12
Actinopteri,US,CN,200,1
Actinopteri,VN,CN,17159706,3046
Actinopteri,CA,CO,996,1
Actinopteri,CN,CO,10000,5
Actinopteri,DE,CO,100,2
Actinopteri,DK,CO,210,2
Actinopteri,GB,CO,360,3
Actinopteri,HN,CO,20,1
Actinopteri,ID,CO,924,1
Actinopteri,JP,CO,332,4
Actinopteri,KR,CO,1000,4
Actinopteri,MX,CO,100,1
Actinopteri,MY,CO,331,1
Actinopteri,NL,CO,1700,6
Actinopteri,PH,CO,300,2
Actinopteri,SG,CO,960,2
Actinopteri,US,CO,566,7
Actinopteri,US,CR,1,1
Actinopteri,GB,CZ,3489,15
Actinopteri,US,CZ,210,8
Actinopteri,CH,DE,1067,73
Actinopteri,JP,DE,14820,57
Actinopteri,KR,DE,100,1
Actinopteri,US,DE,2974,18
Actinopteri,VN,DE,1010,3
Actinopteri,ZA,DE,5030,3
Actinopteri,AU,DK,160,1
Actinopteri,CH,DK,46,1
Actinopteri,CN,EG,1350,1
Actinopteri,HK,EG,20800,20
Actinopteri,KR,EG,406470,290
Actinopteri,LB,EG,300,1
Actinopteri,US,EG,18500,13
Actinopteri,BY,ES,10622,6
Actinopteri,CH,FR,60,15
Actinopteri,CN,FR,20,1
Actinopteri,GB,FR,40,1
Actinopteri,HK,FR,20,1
Actinopteri,JP,FR,120,6
Actinopteri,MC,FR,50,3
Actinopteri,US,FR,1350,20
Actinopteri,CZ,GB,5,5
Actinopteri,ES,GB,7,5
Actinopteri,FR,GB,6,6
Actinopteri,GG,GB,10,1
Actinopteri,HK,GB,6,4
Actinopteri,IS,GB,6,1
Actinopteri,IT,GB,2,2
Actinopteri,NO,GB,21,3
Actinopteri,PT,GB,550,1
Actinopteri,US,GB,2134,12
Actinopteri,AM,GE,15820,6
Actinopteri,AZ,GE,9200,5
Actinopteri,CA,HK,1,1
Actinopteri,KR,HK,1300,4
Actinopteri,PH,HK,1,1
Actinopteri,SG,HK,2,1
Actinopteri,TH,HK,4,1
Actinopteri,DE,HS,31,1
Actinopteri,CH,HU,5000,2
Actinopteri,GB,HU,104100,24
Actinopteri,RS,HU,278600,46
Actinopteri,SR,HU,6000,1
Actinopteri,AE,ID,20,2
Actinopteri,AR,ID,10,1
Actinopteri,AT,ID,525,14
Actinopteri,BE,ID,2329,46
Actinopteri,BG,ID,200,2
Actinopteri,BN,ID,24,9
Actinopteri,CA,ID,2109,733
Actinopteri,CN,ID,966064,4067
Actinopteri,CZ,ID,6827,92
Actinopteri,DE,ID,42358,578
Actinopteri,DK,ID,1150,15
Actinopteri,ES,ID,381,10
Actinopteri,FR,ID,19341,504
Actinopteri,GB,ID,31607,657
Actinopteri,HK,ID,183215,1517
Actinopteri,IL,ID,8,3
Actinopteri,IT,ID,7600,142
Actinopteri,JP,ID,26978,677
Actinopteri,KH,ID,118,5
Actinopteri,KP,ID,30,1
Actinopteri,KR,ID,6464,175
Actinopteri,KW,ID,52,2
Actinopteri,LB,ID,11,1
Actinopteri,LK,ID,66,5
Actinopteri,MO,ID,360,11
Actinopteri,MY,ID,14312,116
Actinopteri,NL,ID,28707,252
Actinopteri,NO,ID,25,1
Actinopteri,NZ,ID,130,3
Actinopteri,PH,ID,8349,170
Actinopteri,PL,ID,377,8
Actinopteri,PT,ID,3175,4
Actinopteri,QA,ID,5,1
Actinopteri,RU,ID,301,11
Actinopteri,SE,ID,600,11
Actinopteri,SG,ID,30990,530
Actinopteri,TH,ID,34085,568
Actinopteri,TW,ID,84450,688
Actinopteri,US,ID,29076,459
Actinopteri,VN,ID,210112,1549
Actinopteri,DK,IN,50,1
Actinopteri,FR,IN,51,1
Actinopteri,TR,IR,2250,2
Actinopteri,MC,IT,14,1
Actinopteri,HK,JP,2,2
Actinopteri,AE,KE,10,10
Actinopteri,CN,KE,2,1
Actinopteri,DK,KE,2,2
Actinopteri,HR,KE,2,2
Actinopteri,PL,KE,2,2
Actinopteri,SA,KE,1,1
Actinopteri,KZ,KG,3000,2
Actinopteri,CN,KR,12,2
Actinopteri,VN,KR,2,1
Actinopteri,RU,KZ,12000,3
Actinopteri,AE,LK,388,12
Actinopteri,AR,LK,1250,10
Actinopteri,AU,LK,200,2
Actinopteri,BD,LK,140,4
Actinopteri,BH,LK,60,1
Actinopteri,CA,LK,2320,29
Actinopteri,CH,LK,100,4
Actinopteri,DE,LK,1844,18
Actinopteri,ES,LK,250,4
Actinopteri,FR,LK,2054,16
Actinopteri,GB,LK,17043,250
Actinopteri,IL,LK,450,6
Actinopteri,IN,LK,70,2
Actinopteri,IR,LK,80,2
Actinopteri,IT,LK,150,2
Actinopteri,JO,LK,450,5
Actinopteri,JP,LK,3061,20
Actinopteri,KR,LK,350,4
Actinopteri,KW,LK,1000,11
Actinopteri,KZ,LK,30,2
Actinopteri,NL,LK,5437,18
Actinopteri,NO,LK,50,1
Actinopteri,NZ,LK,430,12
Actinopteri,PL,LK,3170,21
Actinopteri,QA,LK,60,2
Actinopteri,RU,LK,1260,18
Actinopteri,SG,LK,30,2
Actinopteri,TR,LK,360,5
Actinopteri,US,LK,2158,25
Actinopteri,BY,LT,22280,21
Actinopteri,CN,MA,1200,4
Actinopteri,EG,MA,2180,2
Actinopteri,GB,MA,200,1
Actinopteri,HK,MA,12696,18
Actinopteri,JP,MA,16880,9
Actinopteri,KR,MA,1863742,732
Actinopteri,MY,MA,1445,4
Actinopteri,RU,MA,520,1
Actinopteri,US,MA,249028,121
Actinopteri,VN,MA,33572.15,55
Actinopteri,FR,MC,246,12
Actinopteri,HR,MC,144,6
Actinopteri,IT,MC,30,1
Actinopteri,TW,MG,20,1
Actinopteri,NL,MX,250,1
Actinopteri,PE,MX,240,1
Actinopteri,PT,MX,1920,6
Actinopteri,US,MX,3276,11
Actinopteri,AR,MY,51,6
Actinopteri,AU,MY,60,4
Actinopteri,BN,MY,935,25
Actinopteri,BR,MY,1395,395
Actinopteri,CA,MY,1385,559
Actinopteri,CH,MY,32235,109
Actinopteri,CN,MY,1235605,3969
Actinopteri,CO,MY,2,1
Actinopteri,CZ,MY,21,3
Actinopteri,DE,MY,224,10
Actinopteri,ES,MY,5,1
Actinopteri,FR,MY,21,2
Actinopteri,GB,MY,2262,1141
Actinopteri,GR,MY,16,2
Actinopteri,HK,MY,231143,970
Actinopteri,ID,MY,187,4
Actinopteri,IE,MY,20,1
Actinopteri,IN,MY,10537,35
Actinopteri,IR,MY,215,5
Actinopteri,IT,MY,10,2
Actinopteri,JE,MY,1,1
Actinopteri,JP,MY,43708,1043
Actinopteri,KH,MY,640,2
Actinopteri,KP,MY,3891,65
Actinopteri,KR,MY,4697,103
Actinopteri,LK,MY,244,10
Actinopteri,MT,MY,60,2
Actinopteri,MX,MY,110,2
Actinopteri,NL,MY,2763,52
Actinopteri,NO,MY,4,3
Actinopteri,NZ,MY,316,21
Actinopteri,PA,MY,40,2
Actinopteri,PE,MY,8,2
Actinopteri,PH,MY,21065,136
Actinopteri,RU,MY,25,2
Actinopteri,SA,MY,5,1
Actinopteri,SG,MY,6478,154
Actinopteri,SR,MY,40,2
Actinopteri,TH,MY,43205,470
Actinopteri,TW,MY,81116,522
Actinopteri,VN,MY,339696,1017
Actinopteri,XX,MY,13,4
Actinopteri,GB,NC,530,10
Actinopteri,US,NC,1780,33
Actinopteri,CA,NL,85,3
Actinopteri,CH,NL,224,7
Actinopteri,GB,NL,138,8
Actinopteri,HK,NL,12,2
Actinopteri,KW,NL,4,4
Actinopteri,MX,NL,215,2
Actinopteri,TW,NL,21,4
Actinopteri,CA,PE,335,9
Actinopteri,CH,PE,1300,1
Actinopteri,CL,PE,514,3
Actinopteri,CN,PE,27511,23
Actinopteri,CZ,PE,528,21
Actinopteri,DE,PE,1353,19
Actinopteri,DK,PE,20,1
Actinopteri,EC,PE,10000,2
Actinopteri,ES,PE,8,2
Actinopteri,FR,PE,1292,13
Actinopteri,GB,PE,100,1
Actinopteri,HK,PE,147062,109
Actinopteri,ID,PE,1236,4
Actinopteri,JP,PE,10026,79
Actinopteri,KR,PE,5403,32
Actinopteri,KZ,PE,200,1
Actinopteri,MX,PE,80,2
Actinopteri,MY,PE,5340,3
Actinopteri,NL,PE,3916,15
Actinopteri,NO,PE,3,1
Actinopteri,PH,PE,1200,7
Actinopteri,PL,PE,457,6
Actinopteri,SI,PE,50,1
Actinopteri,TH,PE,755,2
Actinopteri,TR,PE,40,2
Actinopteri,UA,PE,230,2
Actinopteri,US,PE,32295,186
Actinopteri,VN,PE,3000,4
Actinopteri,BY,PL,535,3
Actinopteri,CH,PT,75,3
Actinopteri,GB,PT,166,12
Actinopteri,IL,PT,8,1
Actinopteri,US,PW,16,2
Actinopteri,GB,RO,1077,2
Actinopteri,RS,RO,179820,38
Actinopteri,EE,RU,750,1
Actinopteri,XX,SC,6,3
Actinopteri,AE,SG,118,10
Actinopteri,BD,SG,360,30
Actinopteri,BN,SG,11,2
Actinopteri,CA,SG,2913,1473
Actinopteri,CN,SG,24409,186
Actinopteri,CZ,SG,36,7
Actinopteri,DE,SG,35,21
Actinopteri,DK,SG,14,5
Actinopteri,EG,SG,19,5
Actinopteri,ES,SG,28,11
Actinopteri,FR,SG,11,3
Actinopteri,GB,SG,498,249
Actinopteri,GR,SG,12,4
Actinopteri,HK,SG,14753,212
Actinopteri,ID,SG,22,11
Actinopteri,IN,SG,1513,76
Actinopteri,IT,SG,10,2
Actinopteri,JP,SG,11634,224
Actinopteri,KE,SG,17,4
Actinopteri,KH,SG,10,1
Actinopteri,KR,SG,1655,28
Actinopteri,KW,SG,18,15
Actinopteri,KZ,SG,21,10
Actinopteri,LK,SG,894,45
Actinopteri,MM,SG,132,2
Actinopteri,MU,SG,1,1
Actinopteri,MY,SG,21384,104
Actinopteri,NL,SG,20,4
Actinopteri,NZ,SG,163,16
Actinopteri,PF,SG,10,3
Actinopteri,PH,SG,3754,129
Actinopteri,RO,SG,4,2
Actinopteri,RS,SG,30,3
Actinopteri,RU,SG,24,12
Actinopteri,SA,SG,2,1
Actinopteri,SC,SG,12,5
Actinopteri,TH,SG,1500,43
Actinopteri,TR,SG,12,10
Actinopteri,TW,SG,5838,142
Actinopteri,UA,SG,4,2
Actinopteri,UZ,SG,3,1
Actinopteri,VN,SG,4297,44
Actinopteri,ZA,SG,46,3
Actinopteri,AE,TH,32,8
Actinopteri,BD,TH,18,5
Actinopteri,CH,TH,30,3
Actinopteri,CN,TH,20,2
Actinopteri,DE,TH,2,2
Actinopteri,DK,TH,36,6
Actinopteri,FR,TH,20,9
Actinopteri,GB,TH,42401,29
Actinopteri,IQ,TH,9,3
Actinopteri,IR,TH,20,2
Actinopteri,JP,TH,2956,51
Actinopteri,KE,TH,6,4
