Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2022,ALABAMA,"AMBERJACK, GREATER","23,447",11,"38,422",Public,Commercial,Seriola dumerili,168689,GULFFIN
2022,ALABAMA,"AMBERJACK, LESSER",,,,Confidential,Commercial,Seriola fasciata,168690,GULFFIN
2022,ALABAMA,ANCHOVIES **,,,,Confidential,Commercial,Engraulidae,553173,GULFFIN
2022,ALABAMA,"BARRACUDAS, SPHYRAENIDAE (FAMILY) **","16,683",8,"44,302",Public,Commercial,Sphyraenidae,170424,GULFFIN
2022,ALABAMA,BARRELFISH,,,,Confidential,Commercial,Hyperoglyphe perciformis,172512,GULFFIN
2022,ALABAMA,"BASS, LONGTAIL",,,,Confidential,Commercial,Hemanthias leptus,167800,GULFFIN
2022,ALABAMA,"BASS, ROCK SEA",,,,Confidential,Commercial,Centropristis philadelphica,167691,GULFFIN
2022,ALABAMA,BIGEYE,,,,Confidential,Commercial,Priacanthus arenatus,168178,GULFFIN
2022,ALABAMA,BLUEFISH,"31,468",14,"18,176",Public,Commercial,Pomatomus saltatrix,168559,GULFFIN
2022,ALABAMA,"BROTULA, BEARDED",,,,Confidential,Commercial,Brotula barbata,164818,GULFFIN
2022,ALABAMA,BUFFALOFISHES **,"45,124",20,"15,274",Public,Commercial,Ictiobus,163954,GULFFIN
2022,ALABAMA,"BUMPER, ATLANTIC","32,887",15,"21,178",Public,Commercial,Chloroscombrus chrysurus,168670,GULFFIN
2022,ALABAMA,BUTTERFISH,"278,481",126,"95,643",Public,Commercial,Peprilus triacanthus,172567,GULFFIN
2022,ALABAMA,"CARP, COMMON",,,,Confidential,Commercial,Cyprinus carpio,163344,GULFFIN
2022,ALABAMA,"CATFISH, BLUE",,,,Confidential,Commercial,Ictalurus furcatus,163997,GULFFIN
2022,ALABAMA,"CATFISH, CHANNEL",,,,Confidential,Commercial,Ictalurus punctatus,163998,GULFFIN
2022,ALABAMA,"CATFISHES, FORKTAIL **","2,387",1,"1,533",Public,Commercial,Ictalurus,163996,GULFFIN
2022,ALABAMA,"CATFISHES, SEA **","14,163",6,"8,935",Public,Commercial,Ariidae,164157,GULFFIN
2022,ALABAMA,"CHUB, BERMUDA",,,,Confidential,Commercial,Kyphosus sectator,645471,GULFFIN
2022,ALABAMA,CHUBS **,,,,Confidential,Commercial,Coregonus,161932,GULFFIN
2022,ALABAMA,COBIA,"3,118",1,"9,275",Public,Commercial,Rachycentron canadum,168566,GULFFIN
2022,ALABAMA,"CRAB, BLUE","963,512",437,"1,191,518",Public,Commercial,Callinectes sapidus,98696,GULFFIN
2022,ALABAMA,"CRAB, FLORIDA STONE",,,,Confidential,Commercial,Menippe mercenaria,98811,GULFFIN
2022,ALABAMA,"CRABS, DECAPODA (ORDER) **",,,,Confidential,Commercial,Decapoda,95599,GULFFIN
2022,ALABAMA,"CROAKER, ATLANTIC",,,,Confidential,Commercial,Micropogonias undulatus,169283,GULFFIN
2022,ALABAMA,CUSK,,,,Confidential,Commercial,Brosme brosme,164740,GULFFIN
2022,ALABAMA,"CUTLASSFISH, ATLANTIC",,,,Confidential,Commercial,Trichiurus lepturus,172385,GULFFIN
2022,ALABAMA,DOLPHINFISH,121,0,302,Public,Commercial,Coryphaena hippurus,168791,GULFFIN
2022,ALABAMA,"DRUM, BLACK","28,111",13,"12,419",Public,Commercial,Pogonias cromis,169288,GULFFIN
2022,ALABAMA,"DRUM, FRESHWATER",,,,Confidential,Commercial,Aplodinotus grunniens,169364,GULFFIN
2022,ALABAMA,"DRUM, RED",,,,Confidential,Commercial,Sciaenops ocellatus,169290,GULFFIN
2022,ALABAMA,DRUMS **,"11,645",5,"3,265",Public,Commercial,Sciaenidae,169237,GULFFIN
2022,ALABAMA,FLATFISHES **,"16,506",7,"66,552",Public,Commercial,Pleuronectiformes,172702,GULFFIN
2022,ALABAMA,GARFISHES **,,,,Confidential,Commercial,Lepisosteidae,161092,GULFFIN
2022,ALABAMA,"GROUPER, BLACK",,,,Confidential,Commercial,Mycteroperca bonaci,167760,GULFFIN
2022,ALABAMA,"GROUPER, GAG",,,,Confidential,Commercial,Mycteroperca microlepis,167759,GULFFIN
2022,ALABAMA,"GROUPER, RED",333,0,"1,948",Public,Commercial,Epinephelus morio,167702,GULFFIN
2022,ALABAMA,"GROUPER, WARSAW",,,,Confidential,Commercial,Epinephelus nigritus,167704,GULFFIN
2022,ALABAMA,"GROUPER, YELLOWEDGE",,,,Confidential,Commercial,Epinephelus flavolimbatus,167699,GULFFIN
2022,ALABAMA,"GROUPER, YELLOWFIN",,,,Confidential,Commercial,Mycteroperca venenosa,167764,GULFFIN
2022,ALABAMA,"GROUPERS, SERRANIDAE (FAMILY) **",,,,Confidential,Commercial,Serranidae,167674,GULFFIN
2022,ALABAMA,"HERRING, ATLANTIC THREAD",,,,Confidential,Commercial,Opisthonema oglinum,161748,GULFFIN
2022,ALABAMA,"HIND, SPECKLED",,,,Confidential,Commercial,Epinephelus drummondhayi,167698,GULFFIN
2022,ALABAMA,"JACK, ALMACO",,,,Confidential,Commercial,Seriola rivoliana,168691,GULFFIN
2022,ALABAMA,"JACK, BAR",252,0,479,Public,Commercial,Carangoides ruber,168615,GULFFIN
2022,ALABAMA,"JACK, BLUNTNOSE",,,,Confidential,Commercial,Hemicranx amblyrhynchus,168740,GULFFIN
2022,ALABAMA,"JACK, CREVALLE","4,418",2,992,Public,Commercial,Caranx hippos,168609,GULFFIN
2022,ALABAMA,"KINGFISH, GULF",,,,Confidential,Commercial,Menticirrhus littoralis,169275,GULFFIN
2022,ALABAMA,KINGFISHES **,"4,521",2,"11,212",Public,Commercial,Menticirrhus,169273,GULFFIN
2022,ALABAMA,LADYFISH,"285,449",129,"250,769",Public,Commercial,Elops saurus,161111,GULFFIN
2022,ALABAMA,"LIZARDFISH, INSHORE",,,,Confidential,Commercial,Synodus foetens,162376,GULFFIN
2022,ALABAMA,"LIZARDFISHES, SYNODONTIDAE (FAMILY) **",,,,Confidential,Commercial,Synodontidae,162374,GULFFIN
2022,ALABAMA,LOOKDOWN,,,,Confidential,Commercial,Selene vomer,168680,GULFFIN
2022,ALABAMA,"MACKEREL, KING","165,291",75,"680,114",Public,Commercial,Scomberomorus cavalla,172435,GULFFIN
2022,ALABAMA,"MACKEREL, SPANISH","264,285",120,"329,931",Public,Commercial,Scomberomorus maculatus,172436,GULFFIN
2022,ALABAMA,MACKERELS **,,,,Confidential,Commercial,Scomber,172411,GULFFIN
2022,ALABAMA,MENHADENS **,"855,094",388,"168,433",Public,Commercial,Brevoortia ,161731,GULFFIN
2022,ALABAMA,"MOONFISH, ATLANTIC",,,,Confidential,Commercial,Selene setapinnis,168684,GULFFIN
2022,ALABAMA,"MULLET, STRIPED","1,801,338",817,"1,290,888",Public,Commercial,Mugil cephalus,170335,GULFFIN
2022,ALABAMA,"MULLET, WHITE",,,,Confidential,Commercial,Mugil curema,170336,GULFFIN
2022,ALABAMA,MULLETS **,"11,608",5,"8,893",Public,Commercial,Mugilidae,170333,GULFFIN
2022,ALABAMA,OILFISH,,,,Confidential,Commercial,Ruvettus pretiosus,172364,GULFFIN
2022,ALABAMA,"OYSTER, EASTERN","668,784",303,"4,359,540",Public,Commercial,Crassostrea virginica,79872,GULFFIN
2022,ALABAMA,PINFISH,,,,Confidential,Commercial,Lagodon rhomboides,169187,GULFFIN
2022,ALABAMA,"POMPANO, AFRICAN",337,0,"1,461",Public,Commercial,Alectis ciliaris,168602,GULFFIN
2022,ALABAMA,"POMPANO, FLORIDA","9,877",4,"45,016",Public,Commercial,Trachinotus carolinus,168708,GULFFIN
2022,ALABAMA,"PORGY, RED",367,0,700,Public,Commercial,Pagrus pagrus,169207,GULFFIN
2022,ALABAMA,"PORGY, WHITEBONE","1,453",1,"5,470",Public,Commercial,Calamus leucosteus,169200,GULFFIN
2022,ALABAMA,"PUFFERS, TETRAODONTIDAE (FAMILY) **",,,,Confidential,Commercial,Tetraodontidae,173283,GULFFIN
2022,ALABAMA,"RUNNER, BLUE","25,215",11,"20,008",Public,Commercial,Caranx crysos,168612,GULFFIN
2022,ALABAMA,"RUNNER, RAINBOW",,,,Confidential,Commercial,Elagatis bipinnulata,168738,GULFFIN
2022,ALABAMA,"SARDINE, SCALED",,,,Confidential,Commercial,Harengula jaguana,161755,GULFFIN
2022,ALABAMA,"SARDINES, SCALY ** **",,,,Confidential,Commercial,Harengula,161752,GULFFIN
2022,ALABAMA,"SCAD, BIGEYE","35,613",16,"13,001",Public,Commercial,Selar crumenophthalmus,168677,GULFFIN
2022,ALABAMA,SCADS **,,,,Confidential,Commercial,Decapterus ,168723,GULFFIN
2022,ALABAMA,SCAMP,"1,471",1,"6,108",Public,Commercial,Mycteroperca phenax,167763,GULFFIN
2022,ALABAMA,"SCORPIONFISH, SPINYCHEEK",,,,Confidential,Commercial,Neomerinthe hemingwayi,166794,GULFFIN
2022,ALABAMA,SCORPIONFISHES **,,,,Confidential,Commercial,Scorpaenidae,166704,GULFFIN
2022,ALABAMA,"SEATROUT, SAND","27,011",12,"17,138",Public,Commercial,Cynoscion arenarius,169243,GULFFIN
2022,ALABAMA,"SEATROUT, SPOTTED",,,,Confidential,Commercial,Cynoscion nebulosus,169239,GULFFIN
2022,ALABAMA,"SENNET, NORTHERN",,,,Confidential,Commercial,Sphyraena borealis,170427,GULFFIN
2022,ALABAMA,"SHAD, THREADFIN",,,,Confidential,Commercial,Dorosoma petenense,161738,GULFFIN
2022,ALABAMA,SHARK FINS **,,,,Confidential,Commercial,Unspecified,2,EXCEPTIONS
2022,ALABAMA,"SHARK, BLACKTIP",,,,Confidential,Commercial,Carcharhinus limbatus,160318,EXCEPTIONS
2022,ALABAMA,"SHARK, BULL",,,,Confidential,Commercial,Carcharhinus leucas,160275,EXCEPTIONS
2022,ALABAMA,"SHARK, DOGFISH, SMOOTH",,,,Confidential,Commercial,Mustelus canis,160230,EXCEPTIONS
