"species","spine"
"Abyssoberyx levisquamosus","Neurocranial"
"Abyssoberyx levisquamosus","Neurocranial"
"Abyssoberyx levisquamosus","Neurocranial"
"Abyssoberyx levisquamosus","Neurocranial"
"Abyssoberyx levisquamosus","Neurocranial"
"Abyssoberyx levisquamosus","Neurocranial"
"Abyssocottus elochini","Rostral"
"Abyssocottus elochini","PreopercularCover"
"Abyssocottus elochini","PreopercularCover"
"Abyssocottus elochini","PreopercularCover"
"Abyssocottus elochini","PreopercularEdge"
"Abyssocottus elochini","PreopercularEdge"
"Abyssocottus elochini","PreopercularEdge"
"Abyssocottus elochini","PreopercularEdge"
"Abyssocottus elochini","PreopercularEdge"
"Abyssocottus elochini","PreopercularEdge"
"Abyssocottus elochini","PreopercularEdge"
"Abyssocottus elochini","PreopercularEdge"
"Abyssocottus korotneffi","Rostral"
"Abyssocottus korotneffi","PreopercularEdge"
"Acanthistius brasilianus","Supraopercular"
"Acanthistius brasilianus","PreopercularEdge"
"Acanthistius brasilianus","PreopercularEdge"
"Acanthistius brasilianus","PreopercularEdge"
"Acanthistius brasilianus","PreopercularEdge"
"Acanthistius brasilianus","PreopercularEdge"
"Acanthistius brasilianus","OpercularCover"
"Acanthistius brasilianus","OpercularCover"
"Acanthistius brasilianus","OpercularCover"
"Acanthistius cinctus","PreopercularEdge"
"Acanthistius cinctus","OpercularCover"
"Acanthistius cinctus","OpercularCover"
"Acanthistius cinctus","OpercularCover"
"Acanthistius cinctus","OpercularEdge"
"Acanthistius fuscus","OpercularCover"
"Acanthistius joanae","PreopercularEdge"
"Acanthistius joanae","PreopercularEdge"
"Acanthistius joanae","PreopercularEdge"
"Acanthistius joanae","PreopercularEdge"
"Acanthistius joanae","PreopercularEdge"
"Acanthistius joanae","PreopercularEdge"
"Acanthistius joanae","PreopercularEdge"
"Acanthistius joanae","PreopercularEdge"
"Acanthistius joanae","PreopercularEdge"
"Acanthistius joanae","PreopercularEdge"
"Acanthistius joanae","PreopercularEdge"
"Acanthistius joanae","PreopercularEdge"
"Acanthistius joanae","PreopercularEdge"
"Acanthistius joanae","PreopercularEdge"
"Acanthistius joanae","OpercularCover"
"Acanthistius joanae","OpercularCover"
"Acanthistius pardalotus","Supraopercular"
"Acanthistius pardalotus","PreopercularEdge"
"Acanthistius pardalotus","PreopercularEdge"
"Acanthistius pardalotus","PreopercularEdge"
"Acanthistius pardalotus","OpercularCover"
"Acanthistius pardalotus","OpercularCover"
"Acanthistius pardalotus","OpercularCover"
"Acanthistius patachonicus","PreopercularEdge"
"Acanthistius patachonicus","PreopercularEdge"
"Acanthistius patachonicus","PreopercularEdge"
"Acanthistius patachonicus","PreopercularEdge"
"Acanthistius patachonicus","PreopercularEdge"
"Acanthistius patachonicus","PreopercularEdge"
"Acanthistius patachonicus","PreopercularEdge"
"Acanthistius patachonicus","PreopercularEdge"
"Acanthistius patachonicus","PreopercularEdge"
"Acanthistius patachonicus","PreopercularEdge"
"Acanthistius patachonicus","PreopercularEdge"
"Acanthistius patachonicus","PreopercularEdge"
"Acanthistius patachonicus","PreopercularEdge"
"Acanthistius patachonicus","PreopercularEdge"
"Acanthistius patachonicus","PreopercularEdge"
"Acanthistius patachonicus","PreopercularEdge"
"Acanthistius patachonicus","PreopercularEdge"
"Acanthistius patachonicus","PreopercularEdge"
"Acanthistius patachonicus","OpercularCover"
