"order","family","genus","species"
"Acanthuriformes","Acanthuridae","Naso","Naso annulatus"
"Acanthuriformes","Acanthuridae","Naso","Naso brachycentron"
"Acanthuriformes","Acanthuridae","Naso","Naso brevirostris"
"Acanthuriformes","Acanthuridae","Naso","Naso unicornis"
"Acanthuriformes","Luvaridae","Luvarus","Luvarus imperialis"
"Acanthuriformes","Zanclidae","Zanclus","Zanclus cornutus"
"Acipenseriformes","Acipenseridae","Pseudoscaphirhynchus","Pseudoscaphirhynchus kaufmanni"
"Alepocephaliformes","Platytroctidae","Holtbyrnia","Holtbyrnia laticauda"
"Alepocephaliformes","Platytroctidae","Holtbyrnia","Holtbyrnia macrops"
"Alepocephaliformes","Platytroctidae","Maulisia","Maulisia mauli"
"Alepocephaliformes","Platytroctidae","Persparsia","Persparsia kopua"
"Alepocephaliformes","Platytroctidae","Sagamichthys","Sagamichthys schnakenbecki"
"Anabantiformes","Anabantidae","Ctenopoma","Ctenopoma multispine"
"Anabantiformes","Anabantidae","Microctenopoma","Microctenopoma ansorgii"
"Anabantiformes","Anabantidae","Microctenopoma","Microctenopoma congicum"
"Anabantiformes","Anabantidae","Microctenopoma","Microctenopoma nanum"
"Anabantiformes","Osphronemidae","Macropodus","Macropodus opercularis"
"Atheriniformes","Atherinidae","Atherion","Atherion elymus"
"Atheriniformes","Atherinidae","Hypoatherina","Hypoatherina crenolepis"
"Aulopiformes","Chlorophthalmidae","Chlorophthalmus","Chlorophthalmus corniger"
"Batrachoidiformes","Batrachoididae","Aphos","Aphos porosus"
"Batrachoidiformes","Batrachoididae","Austrobatrachus","Austrobatrachus foedus"
"Batrachoidiformes","Batrachoididae","Batrachoides","Batrachoides boulengeri"
"Batrachoidiformes","Batrachoididae","Batrachoides","Batrachoides gilberti"
"Batrachoidiformes","Batrachoididae","Batrachoides","Batrachoides goldmani"
"Batrachoidiformes","Batrachoididae","Batrachoides","Batrachoides liberiensis"
"Batrachoidiformes","Batrachoididae","Batrachoides","Batrachoides manglae"
"Batrachoidiformes","Batrachoididae","Batrachoides","Batrachoides pacifici"
"Batrachoidiformes","Batrachoididae","Batrachoides","Batrachoides surinamensis"
"Batrachoidiformes","Batrachoididae","Batrachoides","Batrachoides walkeri"
"Batrachoidiformes","Batrachoididae","Batrachoides","Batrachoides waltersi"
"Batrachoidiformes","Batrachoididae","Batrachomoeus","Batrachomoeus dubius"
"Batrachoidiformes","Batrachoididae","Batrachomoeus","Batrachomoeus occidentalis"
"Batrachoidiformes","Batrachoididae","Batrachomoeus","Batrachomoeus trispinosus"
"Batrachoidiformes","Batrachoididae","Chatrabus","Chatrabus felinus"
"Batrachoidiformes","Batrachoididae","Chatrabus","Chatrabus melanurus"
"Batrachoidiformes","Batrachoididae","Colletteichthys","Colletteichthys dussumieri"
"Batrachoidiformes","Batrachoididae","Colletteichthys","Colletteichthys flavipinnis"
"Batrachoidiformes","Batrachoididae","Colletteichthys","Colletteichthys occidentalis"
"Batrachoidiformes","Batrachoididae","Daector","Daector dowi"
"Batrachoidiformes","Batrachoididae","Daector","Daector gerringi"
"Batrachoidiformes","Batrachoididae","Daector","Daector quadrizonatus"
"Batrachoidiformes","Batrachoididae","Daector","Daector reticulata"
"Batrachoidiformes","Batrachoididae","Daector","Daector schmitti"
"Batrachoidiformes","Batrachoididae","Halobatrachus","Halobatrachus didactylus"
"Batrachoidiformes","Batrachoididae","Halophryne","Halophryne diemensis"
"Batrachoidiformes","Batrachoididae","Halophryne","Halophryne hutchinsi"
"Batrachoidiformes","Batrachoididae","Halophryne","Halophryne ocellatus"
"Batrachoidiformes","Batrachoididae","Halophryne","Halophryne queenslandiae"
"Batrachoidiformes","Batrachoididae","Opsanus","Opsanus beta"
"Batrachoidiformes","Batrachoididae","Opsanus","Opsanus pardus"
"Batrachoidiformes","Batrachoididae","Opsanus","Opsanus phobetron"
"Batrachoidiformes","Batrachoididae","Perulibatrachus","Perulibatrachus aquilonarius"
"Batrachoidiformes","Batrachoididae","Perulibatrachus","Perulibatrachus elminensis"
"Batrachoidiformes","Batrachoididae","Perulibatrachus","Perulibatrachus kilburni"
"Batrachoidiformes","Batrachoididae","Perulibatrachus","Perulibatrachus rossignoli"
"Batrachoidiformes","Batrachoididae","Porichthys","Porichthys bathoiketes"
"Batrachoidiformes","Batrachoididae","Porichthys","Porichthys greenei"
"Batrachoidiformes","Batrachoididae","Porichthys","Porichthys margaritatus"
"Batrachoidiformes","Batrachoididae","Porichthys","Porichthys mimeticus"
"Batrachoidiformes","Batrachoididae","Porichthys","Porichthys notatus"
"Batrachoidiformes","Batrachoididae","Porichthys","Porichthys oculellus"
"Batrachoidiformes","Batrachoididae","Porichthys","Porichthys pauciradiatus"
"Batrachoidiformes","Batrachoididae","Porichthys","Porichthys plectrodon"
"Batrachoidiformes","Batrachoididae","Porichthys","Porichthys porosissimus"
"Batrachoidiformes","Batrachoididae","Riekertia","Riekertia ellisi"
"Batrachoidiformes","Batrachoididae","Sanopus","Sanopus astrifer"
"Batrachoidiformes","Batrachoididae","Sanopus","Sanopus barbatus"
"Batrachoidiformes","Batrachoididae","Sanopus","Sanopus greenfieldorum"
"Batrachoidiformes","Batrachoididae","Sanopus","Sanopus johnsoni"
"Batrachoidiformes","Batrachoididae","Sanopus","Sanopus reticulatus"
"Batrachoidiformes","Batrachoididae","Thalassophryne","Thalassophryne maculosa"
"Batrachoidiformes","Batrachoididae","Thalassophryne","Thalassophryne megalops"
"Batrachoidiformes","Batrachoididae","Thalassophryne","Thalassophryne montevidensis"
"Batrachoidiformes","Batrachoididae","Thalassophryne","Thalassophryne nattereri"
"Batrachoidiformes","Batrachoididae","Triathalassothia","Triathalassothia argentina"
"Batrachoidiformes","Batrachoididae","Vladichthys","Vladichthys gloverensis"
"Beryciformes","Anomalopidae","Phthanophaneron","Phthanophaneron harveyi"
"Beryciformes","Anoplogastridae","Anoplogaster","Anoplogaster brachycera"
"Beryciformes","Anoplogastridae","Anoplogaster","Anoplogaster cornuta"
"Beryciformes","Berycidae","Beryx","Beryx decadactylus"
"Beryciformes","Berycidae","Beryx","Beryx splendens"
"Beryciformes","Berycidae","Centroberyx","Centroberyx affinis"
"Beryciformes","Berycidae","Centroberyx","Centroberyx australis"
"Beryciformes","Berycidae","Centroberyx","Centroberyx lineatus"
"Beryciformes","Gibberichthyidae","Gibberichthys","Gibberichthys pumilus"
"Beryciformes","Melamphaidae","Melamphaes","Melamphaes eulepis"
"Beryciformes","Melamphaidae","Melamphaes","Melamphaes falsidicus"
"Beryciformes","Melamphaidae","Melamphaes","Melamphaes macrocephalus"
"Beryciformes","Melamphaidae","Melamphaes","Melamphaes manifestus"
"Beryciformes","Melamphaidae","Melamphaes","Melamphaes microps"
"Beryciformes","Melamphaidae","Melamphaes","Melamphaes pachystomus"
"Beryciformes","Melamphaidae","Melamphaes","Melamphaes parini"
"Beryciformes","Melamphaidae","Melamphaes","Melamphaes suborbitalis"
"Beryciformes","Melamphaidae","Poromitra","Poromitra agafonovae"
"Beryciformes","Melamphaidae","Poromitra","Poromitra atlantica"
"Beryciformes","Melamphaidae","Poromitra","Poromitra capito"
"Beryciformes","Melamphaidae","Poromitra","Poromitra coronata"
"Beryciformes","Melamphaidae","Poromitra","Poromitra crassa"
"Beryciformes","Melamphaidae","Poromitra","Poromitra crassiceps"
"Beryciformes","Melamphaidae","Poromitra","Poromitra cristiceps"
"Beryciformes","Melamphaidae","Poromitra","Poromitra curilensis"
"Beryciformes","Melamphaidae","Poromitra","Poromitra decipiens"
"Beryciformes","Melamphaidae","Poromitra","Poromitra frontosa"
"Beryciformes","Melamphaidae","Poromitra","Poromitra gibbsi"
"Beryciformes","Melamphaidae","Poromitra","Poromitra glochidiata"
"Beryciformes","Melamphaidae","Poromitra","Poromitra indooceanica"
"Beryciformes","Melamphaidae","Poromitra","Poromitra jucunda"
"Beryciformes","Melamphaidae","Poromitra","Poromitra kukuevi"
"Beryciformes","Melamphaidae","Poromitra","Poromitra macrophthalma"
"Beryciformes","Melamphaidae","Poromitra","Poromitra megalops"
"Beryciformes","Melamphaidae","Poromitra","Poromitra nigriceps"
"Beryciformes","Melamphaidae","Poromitra","Poromitra nigrofulva"
"Beryciformes","Melamphaidae","Poromitra","Poromitra oscitans"
"Beryciformes","Melamphaidae","Poromitra","Poromitra rugosa"
"Beryciformes","Melamphaidae","Poromitra","Poromitra unicornis"
"Beryciformes","Melamphaidae","Scopelogadus","Scopelogadus mizolepis bispinosus"
"Beryciformes","Rondeletiidae","Rondeletia","Rondeletia bicolor"
"Beryciformes","Stephanoberycidae","Abyssoberyx","Abyssoberyx levisquamosus"
"Beryciformes","Stephanoberycidae","Acanthochaenus","Acanthochaenus luetkenii"
"Beryciformes","Trachichthyidae","Gephyroberyx","Gephyroberyx darwinii"
"Beryciformes","Trachichthyidae","Hoplostethus","Hoplostethus cadenati"
"Beryciformes","Trachichthyidae","Hoplostethus","Hoplostethus confinis"
"Beryciformes","Trachichthyidae","Hoplostethus","Hoplostethus grandperrini"
"Beryciformes","Trachichthyidae","Hoplostethus","Hoplostethus intermedius"
"Beryciformes","Trachichthyidae","Hoplostethus","Hoplostethus latus"
"Beryciformes","Trachichthyidae","Hoplostethus","Hoplostethus melanopeza"
"Beryciformes","Trachichthyidae","Hoplostethus","Hoplostethus melanopus"
"Beryciformes","Trachichthyidae","Hoplostethus","Hoplostethus mento"
"Beryciformes","Trachichthyidae","Hoplostethus","Hoplostethus occidentalis"
"Beryciformes","Trachichthyidae","Hoplostethus","Hoplostethus pacificus"
"Beryciformes","Trachichthyidae","Hoplostethus","Hoplostethus ravurictus"
"Beryciformes","Trachichthyidae","Hoplostethus","Hoplostethus robustispinus"
"Beryciformes","Trachichthyidae","Hoplostethus","Hoplostethus rubellopterus"
"Beryciformes","Trachichthyidae","Hoplostethus","Hoplostethus shubnikovi"
"Beryciformes","Trachichthyidae","Hoplostethus","Hoplostethus tenebricus"
"Beryciformes","Trachichthyidae","Sorosichthys","Sorosichthys ananassa"
"Beryciformes","Trachichthyidae","Trachichthys","Trachichthys australis"
"Carangiformes","Carangidae","Decapterus","Decapterus tabl"
