HYDRON_NUMBER,STATION.NUMBER,TYPE,SOURCE.VARIABLE,OUTPUT.VARIABLE,DATE,TIME,NAVD88,QUALITY.CODE,SOURCE,QUALITY.DESCRIPTION,SHORT_NAME,LONG_NAME,COUNTY,STATION_TYPE,DATA_TYPE,GROUND_WATER_TYPE,LATITUDE,LONGITUDE,LAYER,dist_to_coast_m,dist_to_coast_km,irma_lon,irma_lat,dist_to_irma_km,min_dist_to_irma_km,change,baseline,NAVD88CFB,NAVD88PCFB
510200,510200,NA,227.1,227,2017-08-27,00:00:00,9.23,1,01A,Good quality records,S96L,S-96 Lower at Fellsmere (WL),Brevard,Surface Water,Water Level (WL),NA,27.823749,-80.707068,Surface Water,22060.027831145126,22.06,NA,NA,NA,150.1353757984401,7.629999999999999,9.23,0,0
510200,510200,NA,227.1,227,2017-08-28,00:00:00,10.7,1,01A,Good quality records,S96L,S-96 Lower at Fellsmere (WL),Brevard,Surface Water,Water Level (WL),NA,27.823749,-80.707068,Surface Water,22060.027831145126,22.06,NA,NA,NA,150.1353757984401,7.629999999999999,9.23,1.4699999999999989,15.926327193932815
510200,510200,NA,227.1,227,2017-08-29,00:00:00,13.81,1,01A,Good quality records,S96L,S-96 Lower at Fellsmere (WL),Brevard,Surface Water,Water Level (WL),NA,27.823749,-80.707068,Surface Water,22060.027831145126,22.06,NA,NA,NA,150.1353757984401,7.629999999999999,9.23,4.58,49.62080173347779
510200,510200,NA,227.1,227,2017-08-30,00:00:00,13.78,1,01A,Good quality records,S96L,S-96 Lower at Fellsmere (WL),Brevard,Surface Water,Water Level (WL),NA,27.823749,-80.707068,Surface Water,22060.027831145126,22.06,-26.9,16.1,5670.004085531986,150.1353757984401,7.629999999999999,9.23,4.549999999999999,49.295774647887306
510200,510200,NA,227.1,227,2017-08-31,00:00:00,13.7,1,01A,Good quality records,S96L,S-96 Lower at Fellsmere (WL),Brevard,Surface Water,Water Level (WL),NA,27.823749,-80.707068,Surface Water,22060.027831145126,22.06,-31.7,16.3,5188.975721483865,150.1353757984401,7.629999999999999,9.23,4.469999999999999,48.4290357529794
510200,510200,NA,227.1,227,2017-09-01,00:00:00,13.68,1,01A,Good quality records,S96L,S-96 Lower at Fellsmere (WL),Brevard,Surface Water,Water Level (WL),NA,27.823749,-80.707068,Surface Water,22060.027831145126,22.06,-35.1,17.5,4800.408938072833,150.1353757984401,7.629999999999999,9.23,4.449999999999999,48.212351029252424
510200,510200,NA,227.1,227,2017-09-02,00:00:00,13.7,1,01A,Good quality records,S96L,S-96 Lower at Fellsmere (WL),Brevard,Surface Water,Water Level (WL),NA,27.823749,-80.707068,Surface Water,22060.027831145126,22.06,-39.7,19.1,4279.686784363622,150.1353757984401,7.629999999999999,9.23,4.469999999999999,48.4290357529794
510200,510200,NA,227.1,227,2017-09-03,00:00:00,13.71,1,01A,Good quality records,S96L,S-96 Lower at Fellsmere (WL),Brevard,Surface Water,Water Level (WL),NA,27.823749,-80.707068,Surface Water,22060.027831145126,22.06,-45.5,18.5,3738.0035420400222,150.1353757984401,7.629999999999999,9.23,4.48,48.5373781148429
510200,510200,NA,227.1,227,2017-09-04,00:00:00,13.69,1,01A,Good quality records,S96L,S-96 Lower at Fellsmere (WL),Brevard,Surface Water,Water Level (WL),NA,27.823749,-80.707068,Surface Water,22060.027831145126,22.06,-50.4,17.3,3321.047571098884,150.1353757984401,7.629999999999999,9.23,4.459999999999999,48.32069339111592
510200,510200,NA,227.1,227,2017-09-05,00:00:00,13.7,1,01A,Good quality records,S96L,S-96 Lower at Fellsmere (WL),Brevard,Surface Water,Water Level (WL),NA,27.823749,-80.707068,Surface Water,22060.027831145126,22.06,-55.1,16.6,2914.274035598578,150.1353757984401,7.629999999999999,9.23,4.469999999999999,48.4290357529794
